Year,Boeing_Normalized,Airbus_Normalized
1982,0.020462633451957295,
1983,0.016459074733096084,
1984,0.010231316725978648,
1985,0.01112099644128114,
1986,0.017793594306049824,
1987,0.01912811387900356,
1988,0.016903914590747332,
1989,0.015569395017793594,
1990,0.013790035587188613,
1991,0.015124555160142349,
1992,0.012900355871886121,
1993,0.014234875444839857,
1994,0.010231316725978648,
1995,0.016903914590747332,
1996,0.010676156583629894,
1997,0.018238434163701068,
1998,0.026245551601423486,
1999,0.01912811387900356,
2000,0.016903914590747332,
2001,0.02090747330960854,
2002,0.016459074733096084,
2003,0.016459074733096084,
2004,0.017348754448398576,0.0038314176245210726
2005,0.024466192170818506,0.01532567049808429
2006,0.025800711743772242,0.019157088122605363
2007,0.022686832740213523,0.007662835249042145
2008,0.03158362989323844,0.019157088122605363
2009,0.02891459074733096,0.04980842911877394
2010,0.0400355871886121,0.04980842911877394
2011,0.041370106761565835,0.0421455938697318
2012,0.037811387900355875,0.04597701149425287
2013,0.033807829181494664,0.034482758620689655
2014,0.02802491103202847,0.04597701149425287
2015,0.03069395017793594,0.05363984674329502
2016,0.04403914590747331,0.06896551724137931
2017,0.04448398576512456,0.0842911877394636
2018,0.04759786476868327,0.09578544061302682
2019,0.037811387900355875,0.13793103448275862
2020,0.025800711743772242,0.07279693486590039
2021,0.03914590747330961,0.06896551724137931
2022,0.042704626334519574,0.0842911877394636
