Year,Boeing_Normalized,Airbus_Normalized
1982,0.020462633451957295,
1983,0.016459074733096084,
1984,0.010231316725978648,
1985,0.01112099644128114,
1986,0.017793594306049824,
1987,0.01912811387900356,0.005633802816901409
1988,0.016903914590747332,0.0028169014084507044
1989,0.015569395017793594,
1990,0.013790035587188613,0.0028169014084507044
1991,0.015124555160142349,
1992,0.012900355871886121,0.0028169014084507044
1993,0.014234875444839857,
1994,0.010231316725978648,
1995,0.016903914590747332,0.005633802816901409
1996,0.010676156583629894,0.0028169014084507044
1997,0.018238434163701068,0.0028169014084507044
1998,0.026245551601423486,0.016901408450704224
1999,0.01912811387900356,0.0028169014084507044
2000,0.016903914590747332,0.008450704225352112
2001,0.02090747330960854,0.02535211267605634
2002,0.016459074733096084,0.011267605633802818
2003,0.016459074733096084,0.011267605633802818
2004,0.017348754448398576,0.016901408450704224
2005,0.024466192170818506,0.028169014084507043
2006,0.025800711743772242,0.030985915492957747
2007,0.022686832740213523,0.036619718309859155
2008,0.03158362989323844,0.030985915492957747
2009,0.02891459074733096,0.036619718309859155
2010,0.0400355871886121,0.05070422535211268
2011,0.041370106761565835,0.036619718309859155
2012,0.037811387900355875,0.04225352112676056
2013,0.033807829181494664,0.028169014084507043
2014,0.02802491103202847,0.03380281690140845
2015,0.03069395017793594,0.05352112676056338
2016,0.04403914590747331,0.061971830985915494
2017,0.04448398576512456,0.061971830985915494
2018,0.04759786476868327,0.07042253521126761
2019,0.037811387900355875,0.10140845070422536
2020,0.025800711743772242,0.056338028169014086
2021,0.03914590747330961,0.05070422535211268
2022,0.042704626334519574,0.07042253521126761
